title	labels	area	size	outcome	priority	body
Decide project license	area:docs,size:xs,type:decision	Docs	XS	Foundation	P1	## Goal\nChoose the initial repo license.\n\n## Acceptance\n- A license decision is recorded.\n- The README no longer says license is undecided.
Create initial Go module	area:setup,size:xs,type:task	Setup	XS	Foundation	P0	## Goal\nInitialize the Go module for the backend.\n\n## Acceptance\n- `go.mod` exists.\n- Module path is documented.
Add initial backend folder structure	area:setup,size:xs,type:task	Setup	XS	Foundation	P0	## Goal\nCreate the base Go project layout.\n\n## Acceptance\n- `cmd/api` exists.\n- Core `internal` packages exist for config, auth, vote, audit, and HTTP API.
Add Go-focused .gitignore entries	area:setup,size:xs,type:task	Setup	XS	Foundation	P1	## Goal\nExtend `.gitignore` for Go and local environment files.\n\n## Acceptance\n- Common Go build artifacts are ignored.\n- Local env files are ignored.
Add task runner placeholders	area:setup,size:xs,type:task	Setup	XS	Foundation	P1	## Goal\nAdd a simple task runner entrypoint.\n\n## Acceptance\n- There is a documented command for run, test, and seed.\n- Placeholder targets exist even if seed is not implemented yet.
Add .env.example	area:setup,size:xs,type:task	Setup	XS	Foundation	P1	## Goal\nDocument the required environment variables.\n\n## Acceptance\n- `.env.example` exists.\n- Each variable has a short purpose note.
Add local Postgres compose file	area:setup,size:xs,type:task	Setup	XS	Foundation	P0	## Goal\nProvide a local PostgreSQL bootstrap path.\n\n## Acceptance\n- A compose file exists for local Postgres.\n- README or build docs explain how to start it.
Document local bootstrap steps	area:docs,size:xs,type:task	Docs	XS	Foundation	P0	## Goal\nAdd a concise local setup section.\n\n## Acceptance\n- A new contributor can see how to start dependencies and the API.\n- The setup section references the task runner.
Choose HTTP router package	area:api,size:xs,type:decision	API	XS	Foundation	P0	## Goal\nLock the HTTP router choice.\n\n## Acceptance\n- The chosen router is recorded in docs.\n- The implementation guide is aligned with that choice.
Bootstrap API server entrypoint	area:api,size:xs,type:task	API	XS	Foundation	P0	## Goal\nCreate the first API executable.\n\n## Acceptance\n- `cmd/api` starts an HTTP server.\n- The listen address is configurable.
Add config loading	area:api,size:xs,type:task	API	XS	Foundation	P0	## Goal\nLoad configuration from environment variables.\n\n## Acceptance\n- Server startup reads env config.\n- Missing required config fails clearly.
Add /health endpoint	area:api,size:xs,type:task	API	XS	Foundation	P0	## Goal\nExpose a health endpoint for local verification.\n\n## Acceptance\n- `GET /health` returns success.\n- The endpoint works without database coupling.
Add API base path versioning	area:api,size:xs,type:task	API	XS	Foundation	P1	## Goal\nIntroduce a versioned base path.\n\n## Acceptance\n- API routes are registered under a versioned prefix.\n- The version choice is documented.
Add request logging middleware	area:api,size:xs,type:task	API	XS	Foundation	P1	## Goal\nAdd minimal request logging.\n\n## Acceptance\n- Incoming requests are logged.\n- The log output includes method, path, and status.
Add error response shape	area:api,size:xs,type:task	API	XS	Foundation	P1	## Goal\nStandardize API errors.\n\n## Acceptance\n- Error responses share one JSON shape.\n- At least one handler uses it.
Add graceful shutdown handling	area:api,size:xs,type:task	API	XS	Foundation	P1	## Goal\nShut down the server cleanly.\n\n## Acceptance\n- The API handles termination signals.\n- Shutdown uses a timeout.
Add health route test	area:api,size:xs,type:task	API	XS	Foundation	P1	## Goal\nTest the first route.\n\n## Acceptance\n- There is an automated test for `GET /health`.\n- The test asserts the success response.
Define referendum domain type	area:data,size:xs,type:task	Data	XS	Foundation	P0	## Goal\nCreate the referendum domain model.\n\n## Acceptance\n- A referendum type exists.\n- It includes status and timing fields.
Define voter identity domain type	area:data,size:xs,type:task	Data	XS	Foundation	P0	## Goal\nCreate the voter domain model.\n\n## Acceptance\n- A voter type exists.\n- It includes provider, eligibility, and vote-consumed state.
Define vote record domain type	area:data,size:xs,type:task	Data	XS	Foundation	P0	## Goal\nCreate the anonymous vote model.\n\n## Acceptance\n- A vote type exists.\n- It contains no direct voter identifier.
Define audit receipt domain type	area:data,size:xs,type:task	Data	XS	Audit	P1	## Goal\nCreate the audit receipt model.\n\n## Acceptance\n- A receipt type exists.\n- It includes hash and anchoring status fields.
Draft voters table schema	area:data,size:xs,type:task	Data	XS	Foundation	P0	## Goal\nWrite the first voters schema.\n\n## Acceptance\n- The schema captures eligibility and vote-consumed state.\n- Provider subject is unique.
Draft referendums table schema	area:data,size:xs,type:task	Data	XS	Foundation	P0	## Goal\nWrite the first referendums schema.\n\n## Acceptance\n- The schema supports one active yes/no referendum.\n- Status and timing fields exist.
Draft votes table schema	area:data,size:xs,type:task	Data	XS	Demo Flow	P0	## Goal\nWrite the first votes schema.\n\n## Acceptance\n- The schema stores anonymous ballot data.\n- There is no direct voter identifier field.
Draft audit receipts table schema	area:data,size:xs,type:task	Data	XS	Audit	P1	## Goal\nWrite the first audit receipts schema.\n\n## Acceptance\n- The schema stores receipt hash and blockchain metadata.\n- A pending status is supported.
Document identity-ballot separation rule	area:docs,size:xs,type:task	Docs	XS	Foundation	P0	## Goal\nCapture the core privacy boundary in docs.\n\n## Acceptance\n- The docs explicitly state that the final vote record must not include a direct voter identifier.\n- The rationale is explained briefly.
Seed one active referendum	area:data,size:xs,type:task	Data	XS	Demo Flow	P0	## Goal\nCreate a seed for one active referendum.\n\n## Acceptance\n- The seed creates one active referendum.\n- The referendum can be retrieved locally.
Seed mock voter dataset	area:data,size:xs,type:task	Data	XS	Demo Flow	P0	## Goal\nCreate mock voters for the demo flow.\n\n## Acceptance\n- Seeded voters cover at least one eligible and one ineligible case.\n- Provider data is included.
Seed eligibility flags	area:data,size:xs,type:task	Data	XS	Demo Flow	P1	## Goal\nMake eligibility explicit in seeded data.\n\n## Acceptance\n- The seed includes eligibility state.\n- The login flow can exercise both allowed and rejected cases.
Define age-band derivation rule	area:data,size:xs,type:task	Data	XS	Demo Flow	P1	## Goal\nLock the anonymous age-band logic.\n\n## Acceptance\n- The age-band mapping rule is documented.\n- The rule is deterministic.
Define residence-area derivation rule	area:data,size:xs,type:task	Data	XS	Demo Flow	P1	## Goal\nLock the anonymous residence bucket logic.\n\n## Acceptance\n- The residence bucket rule is documented.\n- The rule avoids high-granularity location data.
Add seed command hook	area:setup,size:xs,type:task	Setup	XS	Demo Flow	P1	## Goal\nExpose a command to load seed data.\n\n## Acceptance\n- There is a documented seed command.\n- It can be invoked without manual SQL editing.
Verify seeded data loads locally	area:data,size:xs,type:task	Data	XS	Demo Flow	P1	## Goal\nConfirm the local seed path works.\n\n## Acceptance\n- Seed data can be loaded into local Postgres.\n- The result can be checked via the app or SQL.
Define mock SPID/CIE payload shape	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P0	## Goal\nDefine the simulated identity provider input shape.\n\n## Acceptance\n- The payload shape is documented in code or docs.\n- It supports both `spid` and `cie`.
Add simulated login endpoint	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P0	## Goal\nCreate the first mock login endpoint.\n\n## Acceptance\n- An endpoint accepts a simulated provider payload.\n- It returns a successful login response for seeded eligible voters.
Add voter lookup by provider subject	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P0	## Goal\nResolve voters from provider identity data.\n\n## Acceptance\n- Provider type and subject map to a voter.\n- Unknown voters return a clear failure.
Add eligibility check service	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P0	## Goal\nEnforce voting eligibility.\n\n## Acceptance\n- Eligibility is checked before granting access to the vote flow.\n- Ineligible voters are rejected consistently.
Add unknown voter response	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P1	## Goal\nReturn a clear error for unknown voters.\n\n## Acceptance\n- Unknown voter responses use the standard error shape.\n- The failure reason is understandable.
Add ineligible voter response	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P1	## Goal\nReturn a clear error for ineligible voters.\n\n## Acceptance\n- Ineligible responses use the standard error shape.\n- The failure reason is understandable.
Add successful mock login test	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P1	## Goal\nTest the happy-path login.\n\n## Acceptance\n- An automated test covers successful simulated login.\n- The test uses seeded-style voter data.
Add ineligible login test	area:auth,size:xs,type:task	Auth	XS	Demo Flow	P1	## Goal\nTest the negative eligibility path.\n\n## Acceptance\n- An automated test covers ineligible login rejection.\n- The test asserts the response shape.
Add active referendum endpoint	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nExpose the active referendum.\n\n## Acceptance\n- An endpoint returns the active referendum.\n- Closed or missing referendums are handled clearly.
Add vote submission endpoint	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nAccept a yes/no vote.\n\n## Acceptance\n- A vote submission endpoint exists.\n- Only allowed ballot values are accepted.
Validate referendum is active before vote	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nReject voting outside the active window.\n\n## Acceptance\n- Votes are rejected if the referendum is not active.\n- The response explains the state problem.
Validate voter has not already voted	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nPrevent duplicate voting.\n\n## Acceptance\n- A prior vote blocks another submission.\n- The rejection is consistent.
Derive age band during vote submission	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nAttach anonymous age-band data to the ballot record.\n\n## Acceptance\n- Age band is derived from voter data.\n- The vote payload does not require raw birth date.
Derive residence bucket during vote submission	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nAttach anonymous residence data to the ballot record.\n\n## Acceptance\n- Residence area is derived from voter data.\n- The vote payload does not require exact residence.
Persist anonymous vote record	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nStore the ballot without a direct identity link.\n\n## Acceptance\n- Vote data is persisted.\n- The stored vote record contains no direct voter identifier.
Mark voter as having voted	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P0	## Goal\nConsume the voter ballot after a successful vote.\n\n## Acceptance\n- The voter record is updated after a successful submission.\n- Failed vote attempts do not consume the ballot.
Return receipt placeholder in vote response	area:voting,size:xs,type:task	Voting	XS	Audit	P1	## Goal\nExpose an immediate receipt reference.\n\n## Acceptance\n- Vote responses include a receipt placeholder or hash.\n- The response does not block on blockchain confirmation.
Add duplicate-vote rejection test	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest duplicate-vote prevention.\n\n## Acceptance\n- An automated test attempts two votes.\n- The second attempt is rejected.
Add successful vote submission test	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest the happy-path vote flow.\n\n## Acceptance\n- An automated test covers successful vote submission.\n- The response includes receipt data.
Add test that vote storage excludes identity fields	area:voting,size:xs,type:task	Voting	XS	Demo Flow	P1	## Goal\nTest the privacy boundary.\n\n## Acceptance\n- An automated test confirms stored vote data has no direct identity field.\n- The test fails if the schema or model regresses.
Define receipt hash input contract	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nLock the receipt hashing inputs.\n\n## Acceptance\n- The hash input fields are documented.\n- The input ordering is deterministic.
Add receipt hash generation service	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nGenerate a receipt hash after vote acceptance.\n\n## Acceptance\n- A service computes the hash.\n- The hash is attached to the vote/audit flow.
Store pending audit status	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nTrack audit anchoring as pending.\n\n## Acceptance\n- New receipts start in a pending state.\n- The status is persisted.
Document blockchain anchoring as async follow-up	area:docs,size:xs,type:task	Docs	XS	Audit	P1	## Goal\nClarify that anchoring is deferred from the critical vote path.\n\n## Acceptance\n- The docs say vote acceptance does not wait for chain confirmation.\n- The next-step async model is described briefly.
Add deterministic receipt hash test	area:blockchain,size:xs,type:task	Blockchain	XS	Audit	P1	## Goal\nTest hash stability.\n\n## Acceptance\n- Identical inputs produce identical hashes.\n- A field change changes the hash.
Add architecture diagram draft	area:docs,size:xs,type:task	Docs	XS	Foundation	P2	## Goal\nCreate a lightweight architecture diagram.\n\n## Acceptance\n- The diagram shows auth, vote, audit, and reporting boundaries.\n- It is stored in the repo.
Add API happy-path docs	area:docs,size:xs,type:task	Docs	XS	Demo Flow	P1	## Goal\nDocument the happy-path API sequence.\n\n## Acceptance\n- The docs show login -> referendum -> vote.\n- Example requests are included.
Add data-boundary note for identity vs ballot	area:docs,size:xs,type:task	Docs	XS	Foundation	P1	## Goal\nExplain the separation between identity and ballot storage.\n\n## Acceptance\n- The docs describe which fields belong in each area.\n- The note is short and explicit.
Add POC limitations section near implementation status	area:docs,size:xs,type:task	Docs	XS	Foundation	P2	## Goal\nKeep the project framing honest during implementation.\n\n## Acceptance\n- The docs restate the main POC limitations.\n- The note is visible near current progress.
Add curl examples for happy path	area:docs,size:xs,type:task	Docs	XS	Demo Flow	P1	## Goal\nMake the demo flow easy to exercise manually.\n\n## Acceptance\n- The docs include curl commands for health, login, referendum, and vote.\n- The examples match implemented endpoints.
